job_title,job_url,company,company_url,rating,reviews,experience,salary,location,description,tags,posted
Customer Support - Freshers & Experienced,https://www.naukri.com/job-listings-customer-support-freshers-experienced-trigent-software-pune-bengaluru-mumbai-all-areas-0-to-0-years-200625014336,Trigent Software Pvt Ltd,,,,0 Yrs,"50,000-3 Lacs PA","Pune, Bengaluru, Mumbai (All Areas)",willing to work into night shifts. 3 rounds of interview. pickup & drop cab facility wi...,Customer Support;International Voice Process;US Process;International Call Center;Customer Care;International Voice;International Process;Voice Process,1 day ago
Walkin at Infosys BPM - Voice Customer Support International -Kolkata,https://www.naukri.com/job-listings-walkin-at-infosys-bpm-voice-customer-support-international-kolkata-infosys-bpm-pune-bengaluru-0-to-4-years-271025009439,Infosys BPM,https://www.naukri.com/infosys-bpm-jobs-careers-134867,3.5,11345.0,31 Oct,,"Pune, Bengaluru",Basic minimum requirement:: Should be flexible to work in Night shifts (US Shift) and f...,Customer Support;International Voice;International Voice Process;Inbound Voice Process;Customer Service;International Call Center;Bpo Voice;International Process,1 day ago
Automation Tester( 3-5 years) Infosys-PUNE/Bangalore/PAN INDIA,https://www.naukri.com/job-listings-automation-tester-3-5-years-infosys-pune-bangalore-pan-india-infosys-hyderabad-pune-bengaluru-3-to-5-years-181025007652,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-5 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs You will create requirement specifications from the business needs, defi...",Automation Testing;Selenium;Java;Automation;Pan;Software testing,1 day ago
IBM Sterling Filegateway,https://www.naukri.com/job-listings-ibm-sterling-filegateway-tata-consultancy-services-pune-chennai-bengaluru-4-to-6-years-261025004165,Tata Consultancy Services,https://www.naukri.com/tata-consultancy-services-jobs-careers-13542,3.4,106727.0,4-6 Yrs,,"Pune, Chennai, Bengaluru",TCS has been a great pioneer in feeding the fire of young techies like you. We are a gl...,Ibm Sterling Integrator;B2B Integration;File Gateway;Sterling Integrator;Ibm Sterling;Sterling File Gateway;Filing;Integrator,1 day ago
Pyspark Developer,https://www.naukri.com/job-listings-pyspark-developer-tata-consultancy-services-pune-chennai-bengaluru-5-to-10-years-271025008486,Tata Consultancy Services,https://www.naukri.com/tata-consultancy-services-jobs-careers-13542,3.4,106727.0,5-10 Yrs,,"Pune, Chennai, Bengaluru","Overall 5+ years of experience in Pyspark, Big Data experience, AWS EMR, S3, IAM, Lambd...",Pyspark;Big Data;Impala;SCALA;Spark;S3;Hadoop;AWS EMR,1 day ago
Automation Tester(3-5years) Infosys-PUNE/Bangalore/PAN INDIA,https://www.naukri.com/job-listings-automation-tester-3-5years-infosys-pune-bangalore-pan-india-infosys-hyderabad-pune-bengaluru-3-to-5-years-181025007934,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-5 Yrs,,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs You will create requirement specifications from the business needs, defi...",Automation Testing;Selenium;Java Selenium;Java;Software testing;Automation;Pan,1 day ago
Sap Abap Consultant,https://www.naukri.com/job-listings-sap-abap-consultant-hcltech-hyderabad-pune-bengaluru-5-to-9-years-271025004282,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,3.4,42672.0,5-9 Yrs,15-22.5 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Mandatory Skill 5 to 9 years of SAP industry experience, SAP S4 / HANA - 2+ yearsExtens...",Odata;Cds Views;Odata Services;SAP ABAP;Hana;Amdp;Cds;Abap,1 day ago
Solution Manager-Presales,https://www.naukri.com/job-listings-solution-manager-presales-atos-pune-chennai-bengaluru-14-to-24-years-271025017751,Atos,https://www.naukri.com/atos-jobs-careers-111,3.8,4729.0,14-24 Yrs,,"Hybrid - Pune, Chennai, Bengaluru","Proven management skills and experience in similar organizations, understanding of Atos...",Cloud;pre-sales;Technical Presales;SMART Platforms;DIGIAL Application;Solutioning;Solution Design;RFP,1 day ago
Aem Developer,https://www.naukri.com/job-listings-aem-developer-tata-consultancy-services-kolkata-pune-chennai-5-to-10-years-261025002771,Tata Consultancy Services,https://www.naukri.com/tata-consultancy-services-jobs-careers-13542,3.4,106727.0,5-10 Yrs,,"Kolkata, Pune, Chennai",Role: AEM Developer . Desired Experience Range: 5 years-10 years . Must Have : . Design...,Aem;Osgi;Apache Sling;Cq5;Osgi Bundles;Adobe Cq;Jcr;Development,2 days ago
Sap Tm Functional Consultant,https://www.naukri.com/job-listings-sap-tm-functional-consultant-hcltech-hyderabad-pune-bengaluru-5-to-9-years-281025011927,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,3.4,42672.0,5-9 Yrs,15-20 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru",Mandatory Skill 5+ years of Supply Chian experience 5+ years experience with Transporta...,implementation;Sap Tm;Supply Chian;TM;Supply;SAP;Functional;Consulting,Just now
